content_id,title,content_type,genre,sub_genre,language,country,release_year,added_date,age_rating,duration_minutes,seasons,episodes,director,cast_count,production_company,imdb_rating,jiohotstar_rating,watch_count_millions,completion_rate,is_original,awards_count
JHS08338,Alliance: Distant Labyrinth,Movie,Crime,Police Procedural,Kannada,India,2010,11/19/2010,U/A 13+,86,,,Kavya Hughes,20,Phoenix Motion Pictures,8.9,4.6,93.3,84.1,Yes,5
JHS03436,River of Frontier,Movie,Family,Family Fantasy,Hindi,India,2006,1/19/2006,U/A 7+,219,,,Rajesh Mehta,14,Royal Pictures,9,5,39.2,87.8,Yes,4
JHS03657,Alliance: Midnight Voyage,TV Show,Fantasy,Urban Fantasy,Hindi,India,1992,3/13/1994,U/A 13+,,11,244,Chloe Bennett,11,Blue Works,5.8,3.8,7.43,54.2,,0
JHS05549,Scarlet Reckoning 6,TV Show,Mystery,Conspiracy,Hindi,India,1991,12/10/2003,U/A 7+,,1,9,Suresh Jung,13,Silver Films,4.4,3.7,38.72,35,No,3
JHS00066,The Shattered Legacy,TV Show,Family,Parenting Drama,Hindi,India,1990,3/6/1990,U/A 7+,,1,20,Pooja Verma,11,Crimson Entertainment,6.4,4,47.67,,No,2
JHS02418,Restless Rebellion,Movie,Thriller,Psychological Thriller,Marathi,India,2002,7/31/2004,A,174,,,Rohan Cook,18,Prism Motion Pictures,8.2,4.6,68.54,69,,5
JHS03693,Echo: Fading Alliance,Movie,Fantasy,Dark Fantasy,Telugu,India,2009,9/11/2010,U/A 13+,177,,,Suresh Choi,,Cobalt Creations,6.8,4.3,24.92,64.1,Yes,2
JHS04000,Throne: Broken Dreams,Movie,Action,Gunfight Drama,Marathi,India,1993,8/3/2002,A,112,,,Rohan Khan,13,Starlight Studios,8.8,4.5,30.5,82.4,Yes,3
JHS05498,Empire: Hidden Empire,TV Show,Sports,Football Drama,Malayalam,India,1996,1/30/2005,U/A 7+,,4,86,Ananya Mehta,18,Falcon Productions,4.7,3.7,3.81,39.8,Yes,3
JHS00439,Bright Mirage 3,TV Show,Family,Family Adventure,English,India,2002,1/18/2004,,,11,63,Ravi Wright,4,Horizon Studios,7.9,4.2,39.27,72.9,No,5
JHS03567,Odyssey Legend of the Reckoning,Movie,Sci-Fi,Cyberpunk,English,UK,2007,11/7/2010,A,119,,,Olivia Bose,14,Cobalt Entertainment,9.5,4.9,10.94,93.5,No,3
JHS06932,Broken Symphony 3,Movie,Action,Action Comedy,Tamil,India,2000,1/21/2004,U/A 16+,112,,,Michael Jung,13,Titan Films,5.8,3.7,13.56,59.2,No,1
JHS01819,The Solitary Circle 2,TV Show,Animation,Anime,Malayalam,India,2006,7/25/2022,U/A 16+,,12,249,Emily Rivera,,Amber Productions,6.7,4,67.5,61.4,No,2
JHS03606,Restless Journey 3,Movie,Action,Action Comedy,English,UK,2012,9/6/2014,U/A 13+,193,,,Noah Menon,2,Crescent Productions,4.9,3.5,28.12,45,Yes,3
JHS02795,Circle: Bright Dreams,TV Show,Action,War Action,Marathi,India,1994,6/1/1997,U,,1,8,Ava Choi,18,Zenith Vision,4.7,3.5,41.2,52,No,0
JHS05078,Silent Path 4,TV Show,Kids,Adventure Kids,Hindi,India,2012,12/11/2017,U/A 13+,,3,53,Mason Collins,11,Horizon Media,6.4,4.1,19.53,38.2,No,7
JHS02466,River Tales of the Voyage,TV Show,Mystery,Missing Person,English,South Korea,2025,1/5/2025,U/A 16+,,10,80,,10,Starlight Motion Pictures,6.7,4.2,7.85,52.3,No,2
JHS04313,Ancient Storm 3,TV Show,Horror,Found Footage,Kannada,India,2019,8/16/2019,U/A 13+,,12,213,Kavya Bhatt,9,Vivid Motion Pictures,4.1,3.5,117.27,43.7,No,2
JHS05234,Whisper: Crimson Symphony,TV Show,Kids,Animated Kids,English,USA,1997,5/31/2000,U/A 13+,,12,213,Mason Joshi,11,Starlight Media,8.7,4.9,53.68,78.8,Yes,3
JHS06476,Throne: Crimson Legacy,TV Show,Thriller,Psychological Thriller,Hindi,India,2005,7/7/2006,U/A 16+,,3,21,Rajesh Tanaka,7,Falcon Media,5.1,3.9,85.56,49.2,No,4
JHS04467,Kingdom: Endless Mirage,Movie,Action,Superhero,Bengali,India,2008,8/17/2010,U/A 13+,125,,,Grace Sharma,5,Aurora Creations,7.7,4.5,78.02,75.6,Yes,2
JHS04382,The Broken River,Movie,Family,Holiday Special,English,USA,2016,10/5/2018,U/A 13+,97,,,Meera Hughes,11,Summit Pictures,7.1,4.5,68.31,67,No,0
JHS05121,Rising Rebellion 7,Movie,Drama,Legal Drama,English,Canada,2007,10/14/2007,,113,,,Emily Chopra,3,Falcon Entertainment,8.6,4.8,54.69,80.2,Yes,1
JHS04563,The Eternal Empire 2,Movie,Drama,Medical Drama,Tamil,India,2000,6/9/2007,U/A 16+,98,,,Noah Murphy,16,Vivid Productions,7.4,4.4,213.73,63.2,No,5
JHS00379,Forgotten Alliance,Movie,Drama,Coming of Age,Hindi,India,2020,3/6/2021,U/A 13+,188,,,Minho Iyer,5,Emerald Media,5.7,3.8,120.9,49,No,0
JHS02760,Untold Labyrinth 3,Movie,Adventure,Treasure Hunt,Hindi,India,1995,3/2/1997,U,92,,,Hiroshi Kim,15,Silver Media,5.8,3.6,23.12,55.9,Yes,2
JHS06960,Rising Labyrinth 5,TV Show,Comedy,Dark Comedy,Hindi,India,2024,5/16/2024,U/A 16+,,1,13,Minho Chopra,8,Echo Works,4.1,3.5,31.8,35,No,1
JHS06782,Broken Kingdom 3,TV Show,Documentary,True Crime Doc,Marathi,India,2021,3/10/2021,U,,4,45,Rajesh Reddy,,North Vision,8.9,5,23.37,78.2,No,5
JHS01290,The Frozen Fortress 2,TV Show,Adventure,Road Trip,Hindi,India,2004,1/13/2014,U/A 13+,,7,124,Suresh Edwards,11,Falcon Films,7.1,4.1,40.68,49.1,No,6
JHS06744,Hidden Chronicles 3,,Action,Martial Arts,Marathi,India,1998,11/2/2003,U/A 13+,126,,,Rohan Singh,17,Vertex Vision,8.6,4.7,25.78,90.1,Yes,7
JHS00012,Bright Chronicles,Movie,Drama,Social Drama,Marathi,India,2011,12/24/2012,U/A 7+,214,,,Ravi Choi,8,Crimson Pictures,7,4.2,,64.4,No,2
JHS02067,Forgotten Alliance 2,TV Show,Romance,Teen Romance,,India,1992,7/20/2018,U/A 13+,,3,44,Vikram Collins,13,Falcon Works,7.7,4.5,50.24,74.2,No,5
JHS06211,Path of Mirage,Movie,History,War History,,Canada,2009,12/12/2009,A,112,,,Ava Singh,20,Cobalt Vision,8,4.5,34.15,78.8,No,2
JHS04480,Odyssey: Eternal Dreams,,Horror,Supernatural Horror,Hindi,India,2006,6/30/2007,U/A 7+,197,,,Seo-yeon Walker,10,Crescent Motion Pictures,7.9,4.5,17.67,73,Yes,1
JHS01056,Dreams Legend of the Storm,Movie,Romance,Romantic Comedy,Hindi,UK,2018,7/14/2020,U/A 16+,153,,,Emily Tanaka,13,Lotus Creations,7.6,4.6,31.55,62.2,Yes,1
JHS03701,River: Rising Legacy,TV Show,Reality,Talent Show,Hindi,India,1992,8/12/2007,,,2,26,Daniel Kim,16,North Entertainment,6.3,3.8,39.2,57,Yes,3
JHS05578,Storm Beyond the Dreams,Movie,Fantasy,Fairy Tale,Marathi,India,2003,3/18/2022,U,167,,,Ananya Iyer,11,Orbit Entertainment,6.9,4.2,26.52,70.1,No,3
JHS09026,Flame: Dark Horizon,TV Show,History,Historical Drama,Marathi,India,2000,10/6/2003,U/A 13+,,4,44,Liam Menon,11,Maple Productions,5.5,3.8,29.07,49.9,No,1
JHS04642,Journey: Silent Journey,Movie,Action,War Action,English,UK,1991,2/19/2002,U/A 16+,189,,,Seo-yeon Gupta,10,Echo Pictures,8.5,4.5,51.79,77.5,Yes,8
JHS08723,Symphony Rise of the Symphony,Movie,Reality,Dating Show,English,USA,1991,6/2/1993,U/A 16+,203,,,Rohan Khan,14,Vertex Pictures,5.6,3.8,38.78,49,Yes,4
JHS09737,Throne and the Empire,Movie,Thriller,Survival Thriller,Marathi,India,2020,5/23/2020,U/A 13+,159,,,Emily Joshi,10,Skyline Pictures,8.2,4.5,22.6,70.4,No,4
JHS01112,The Lost Reckoning 2,Movie,History,Freedom Struggle,Bengali,India,2017,7/27/2019,U/A 13+,146,,,Kenji Kim,16,Ridge Films,9.1,4.9,46.63,82.8,No,3
JHS09272,The Ancient Horizon 2,Movie,History,Biopic,Kannada,India,2006,7/6/2008,U/A 13+,171,,,David Walker,4,Pioneer Creations,8.3,4.9,17.08,64.3,Yes,2
JHS02730,Burning Labyrinth 3,TV Show,Sci-Fi,Cyberpunk,Tamil,,2007,10/8/2007,U/A 16+,,3,72,Mia Pillai,12,Cobalt Productions,9.7,5,40.1,76.5,Yes,8
JHS00738,Silent Reckoning 2,Movie,Action,Superhero,Tamil,India,1998,8/11/1998,A,208,,,Sanjay Sato,8,Royal Works,9.7,5,,80.6,Yes,10
JHS01749,Kingdom: Last Fortress,Movie,Thriller,Techno Thriller,Tamil,India,2025,2/3/2025,U/A 13+,185,,,,7,Titan Films,,3.8,15.39,46.1,No,2
JHS09312,Eternal Mirage 4,Movie,Kids,Musical Kids,Marathi,India,2023,2/19/2023,U,140,,,Ella Murphy,20,Ridge Creations,9.4,4.9,56,83.8,Yes,3
JHS07788,Empire Beyond the Echo,Movie,Romance,Second Chance Romance,English,India,2017,5/19/2023,U/A 16+,168,,,Mia Sharma,4,North Works,6.6,4.1,43.55,57.9,No,4
JHS05592,Scarlet Promise 2,Movie,Drama,Social Drama,Marathi,India,2002,1/24/2009,U/A 7+,103,,,Ava Gupta,10,Royal Pictures,7.5,4.4,44.64,63.6,No,3
JHS02435,Wild Voyage,Movie,Sports,Olympic Story,English,India,1992,2/23/1995,U,207,,,Arjun Bose,8,Falcon Studios,8.1,4.3,20.72,84.9,Yes,5
JHS01546,Restless Storm,Movie,Family,Family Comedy,Marathi,India,2020,6/18/2022,U/A 16+,147,,,Seo-yeon Lee,11,Cobalt Creations,7.7,4.6,57.46,63.6,No,2
JHS02894,Horizon Tales of the Labyrinth,Movie,Family,Animal Story,Marathi,India,1997,2/5/2005,,184,,,Hiroshi Brown,4,Silver Creations,6.3,4.3,12.56,54.8,,0
JHS03818,Path and the Whisper,Movie,Fantasy,High Fantasy,English,USA,2022,4/28/2022,U/A 7+,205,,,Ravi Murphy,6,Phoenix Creations,6.5,4.3,14.88,,No,3
JHS01196,The Silent Empire 4,Movie,Sci-Fi,Post-Apocalyptic,Marathi,India,2018,5/9/2020,U,139,,,Pooja Park,11,Crimson Pictures,6.8,4.4,47.79,63,Yes,2
JHS08004,Chronicles Legend of the Promise,TV Show,Reality,Talent Show,English,UK,1999,9/23/2002,,,9,55,Grace Kim,8,Phoenix Works,7.3,4.1,24.9,71,No,7
JHS03449,Legacy Rise of the Kingdom,Movie,Mystery,Whodunit,Telugu,India,1997,2/26/2004,U/A 13+,133,,,Yuki Pillai,19,Starlight Pictures,9.2,5,,95.7,No,6
JHS01436,Frontier of Flame,Movie,Mystery,Whodunit,Hindi,India,2016,6/30/2016,A,178,,,Laura Lee,17,Falcon Pictures,7.6,4.7,18.75,65.3,No,2
JHS09474,The Endless Flame 4,Movie,Family,Animal Story,Tamil,India,2020,9/5/2020,U,145,,,Ananya Wilson,2,Golden Pictures,6.4,4.1,13.67,58.1,No,5
JHS08437,The Vanishing Secret 3,TV Show,Kids,Educational,Kannada,India,1995,1/26/1998,U/A 7+,,7,89,Harper Singh,16,Zenith Works,9.5,4.9,24.59,92.8,No,2
JHS03030,The Ancient Voyage 2,Movie,Drama,Legal Drama,Marathi,India,2015,2/13/2017,U/A 13+,108,,,Arjun Wilson,17,North Media,9.5,4.7,35.73,80.3,Yes,5
JHS06355,Throne: Burning Reckoning,Movie,Romance,Romantic Drama,Kannada,India,2006,12/25/2008,U/A 16+,159,,,Jason Kapoor,2,Golden Creations,4.5,3.9,38.28,35,No,3
JHS03775,Iron Frontier 3,Movie,Action,War Action,Telugu,India,2022,5/13/2023,U/A 7+,118,,,,18,Zenith Entertainment,9,4.8,76.94,81.3,No,2
JHS08923,The Vanishing Secret 5,Movie,Comedy,Romantic Comedy,Marathi,India,,3/27/2005,U/A 16+,113,,,Emily Sharma,7,Coral Entertainment,6.5,4.2,73.13,60.8,No,3
JHS00037,Shattered Mirage,Movie,Adventure,Sea Voyage,Hindi,India,2024,3/10/2024,A,,,,Mia Malhotra,13,Royal Pictures,7.5,4.4,51.55,58.7,Yes,2
JHS03553,The Silent Empire 5,Movie,Comedy,Satire,Marathi,India,1992,5/21/1995,U/A 16+,182,,,Ava Kim,9,Crimson Films,5.2,3.8,31.76,48.8,No,1
JHS03284,Odyssey: Ancient Reckoning,TV Show,Mystery,Supernatural Mystery,Telugu,India,1995,11/3/1996,U/A 13+,,7,,Chris Bailey,7,Blue Studios,7.4,4.4,6.04,62.5,No,3
JHS06451,Burning Circle 6,Movie,Action,Superhero,Hindi,India,2000,7/3/2000,U,196,,,Arjun Walker,6,Phoenix Entertainment,9.8,5,27.81,90.3,No,5
JHS09031,Radiant Kingdom 7,Movie,Family,Family Comedy,Malayalam,India,2002,4/19/2004,U/A 13+,83,,,Seo-yeon Chopra,10,Echo Entertainment,4.4,3.9,57.82,41.8,No,1
JHS05069,Flame: Scarlet Voyage,Movie,Sci-Fi,Alien Invasion,Hindi,India,2011,2/20/2011,U,130,,,Grace Verma,2,Aurora Entertainment,4,3.8,41.73,40,No,1
JHS05358,Frontier: Forgotten Throne,Movie,History,Ancient Civilization,Hindi,India,2005,5/14/2013,A,187,,,Mason Bailey,15,Golden Works,6.7,4.3,79.28,54.2,No,4
JHS00832,Kingdom: Untold Labyrinth,TV Show,Thriller,Psychological Thriller,Hindi,India,1998,12/13/2005,A,,2,27,Rajesh Sato,16,Starlight Motion Pictures,4.6,3.5,5.36,35.9,No,5
JHS00375,Frontier Legend of the Storm,Movie,Action,Superhero,Marathi,India,2007,5/23/2009,U,135,,,Pooja Kulkarni,16,Phoenix Pictures,7.8,4.4,131.57,82.2,No,3
JHS04077,Burning River 4,Movie,Action,Gunfight Drama,Hindi,India,1997,10/4/2000,U,181,,,Priya Lee,5,Golden Entertainment,7.2,4.4,15.13,70.3,No,5
JHS08576,The Distant Fortress 2,Movie,Fantasy,Urban Fantasy,,India,2020,11/13/2021,U/A 13+,,,,Do-yun Collins,13,North Pictures,5,4,87.83,35,Yes,3
JHS08053,,Movie,Romance,Romantic Comedy,Malayalam,India,2020,5/7/2020,,70,,,Chris Brown,16,Phoenix Films,5.2,3.9,55.48,58.5,,6
JHS03731,Mirage Legend of the Dreams,TV Show,Comedy,Slapstick,Hindi,India,2001,1/12/2002,U/A 7+,,12,204,Sanjay Watanabe,16,Amber Studios,8.4,4.7,39.23,76.9,Yes,10
JHS04905,Shadows: Endless Kingdom,Movie,Romance,,Hindi,India,2016,11/29/2020,A,151,,,Seo-yeon Lee,15,Amber Films,9.2,5,25.3,76.6,No,2
JHS05427,Reckoning: Sacred Whisper,Movie,Romance,Tragic Romance,English,UK,1995,2/15/2014,U,171,,,Sakura Edwards,,Skyline Works,6.4,3.9,3.36,61.5,No,2
JHS01763,Path Legend of the Dreams,Movie,Crime,Serial Killer,Tamil,India,1996,8/21/2000,A,170,,,Ella Murphy,7,Echo Productions,6,3.6,25.54,47.1,Yes,0
JHS01731,The Last Warriors 4,Movie,Reality,Survival Reality,Hindi,India,2016,1/29/2016,U,201,,,Daniel Evans,7,Vivid Films,4.6,3.8,14.31,38.9,Yes,6
JHS03753,Hidden Path 5,Movie,Family,Holiday Special,Tamil,India,1997,8/27/2000,U/A 7+,163,,,Jason Baker,14,Pioneer Creations,8.5,4.4,15.55,,No,5
JHS05464,Throne Rise of the Horizon,TV Show,Comedy,Romantic Comedy,Hindi,India,2016,8/24/2016,U/A 7+,,7,51,Chris Hughes,9,Crimson Vision,8.4,4.8,46.59,82.4,No,4
JHS03582,Ancient Warriors 4,Movie,Family,Holiday Special,Malayalam,India,2013,7/7/2016,U/A 16+,120,,,Sakura Wright,10,Echo Works,8.4,4.7,42.58,82.6,No,3
JHS07180,The Crimson Reckoning 4,Movie,Drama,Medical Drama,Bengali,India,2023,1/31/2023,U/A 7+,99,,,Noah Kim,18,Crescent Studios,4.1,3.5,25.15,35,No,2
